County & State,School Year,County Code,State ANSI Code,Enrollment
"Acadia Parish, LA",11-12,1,22,1975
"Acadia Parish, LA",13-14,1,22,1755
"Acadia Parish, LA",15-16,1,22,1389
"Acadia Parish, LA",17-18,1,22,1240
"Acadia Parish, LA",19-20,1,22,1500
"Acadia Parish, LA",21-22,1,22,1375
"Ada County, ID",11-12,1,16,1729
"Ada County, ID",13-14,1,16,1772
"Ada County, ID",15-16,1,16,1942
"Ada County, ID",17-18,1,16,1855
"Ada County, ID",19-20,1,16,1863
"Ada County, ID",21-22,1,16,2569
"Adair County, MO",11-12,1,29,67
"Adair County, MO",13-14,1,29,78
"Adair County, MO",15-16,1,29,77
"Adair County, MO",17-18,1,29,68
"Adair County, MO",19-20,1,29,80
"Adair County, MO",21-22,1,29,72
"Adams County, CO",11-12,1,8,484
"Adams County, CO",13-14,1,8,357
"Adams County, CO",15-16,1,8,333
"Adams County, CO",17-18,1,8,298
"Adams County, CO",19-20,1,8,419
"Adams County, CO",21-22,1,8,626
"Adams County, IL",11-12,1,17,728
"Adams County, IL",13-14,1,17,1238
"Adams County, IL",15-16,1,17,1296
"Adams County, IL",17-18,1,17,1299
"Adams County, IL",19-20,1,17,817
"Adams County, IL",21-22,1,17,813
"Adams County, IN",11-12,1,18,347
"Adams County, IN",13-14,1,18,376
"Adams County, IN",15-16,1,18,371
"Adams County, IN",17-18,1,18,437
"Adams County, IN",19-20,1,18,323
"Adams County, MS",11-12,1,28,745
"Adams County, MS",13-14,1,28,729
"Adams County, MS",15-16,1,28,746
"Adams County, MS",17-18,1,28,727
"Adams County, MS",19-20,1,28,727
"Adams County, NE",11-12,1,31,477
"Adams County, NE",13-14,1,31,531
"Adams County, NE",15-16,1,31,475
"Adams County, NE",17-18,1,31,473
"Adams County, NE",19-20,1,31,727
"Adams County, NE",21-22,1,31,482
"Adams County, PA",11-12,1,42,1342
"Adams County, PA",13-14,1,42,1144
"Adams County, PA",15-16,1,42,866
"Adams County, PA",17-18,1,42,1218
"Adams County, PA",19-20,1,42,720
"Adams County, PA",21-22,1,42,699
"Addison County, VT",11-12,1,50,77
"Addison County, VT",13-14,1,50,62
"Addison County, VT",15-16,1,50,42
"Aiken County, SC",11-12,3,45,349
"Aiken County, SC",13-14,3,45,280
"Aiken County, SC",15-16,3,45,288
"Aiken County, SC",17-18,3,45,204
"Aiken County, SC",19-20,3,45,212
"Aiken County, SC",21-22,3,45,376
"Alachua County, FL",11-12,1,12,930
"Alachua County, FL",13-14,1,12,943
"Alachua County, FL",15-16,1,12,1015
"Alachua County, FL",17-18,1,12,1068
"Alachua County, FL",19-20,1,12,1104
"Alachua County, FL",21-22,1,12,668
"Alamance County, NC",11-12,1,37,176
"Alamance County, NC",13-14,1,37,147
"Alamance County, NC",15-16,1,37,176
"Alamance County, NC",17-18,1,37,222
"Alamance County, NC",19-20,1,37,219
"Alamance County, NC",21-22,1,37,203
"Alameda County, CA",11-12,1,6,9273
"Alameda County, CA",13-14,1,6,9160
"Alameda County, CA",15-16,1,6,7679
"Alameda County, CA",17-18,1,6,8101
"Alameda County, CA",19-20,1,6,7535
"Alameda County, CA",21-22,1,6,7132
"Albany County, NY",11-12,1,36,2472
"Albany County, NY",13-14,1,36,2927
"Albany County, NY",15-16,1,36,1685
"Albany County, NY",17-18,1,36,2584
"Albany County, NY",19-20,1,36,1919
"Albany County, NY",21-22,1,36,1286
"Albany County, WY",11-12,1,56,73
"Albany County, WY",13-14,1,56,52
"Albany County, WY",15-16,1,56,45
"Albemarle County, VA",11-12,3,51,349
"Albemarle County, VA",13-14,3,51,342
"Albemarle County, VA",15-16,3,51,352
"Albemarle County, VA",17-18,3,51,312
"Albemarle County, VA",19-20,3,51,319
"Albemarle County, VA",21-22,3,51,336
"Alexandria City, VA",11-12,510,51,2100
"Alexandria City, VA",13-14,510,51,1286
"Alexandria City, VA",15-16,510,51,2116
"Alexandria City, VA",17-18,510,51,2064
"Alexandria City, VA",19-20,510,51,2055
"Alexandria City, VA",21-22,510,51,2062
"Allamakee County, IA",11-12,5,19,137
"Allamakee County, IA",13-14,5,19,143
"Allamakee County, IA",15-16,5,19,172
"Allamakee County, IA",17-18,5,19,201
"Allegan County, MI",11-12,5,26,324
"Allegan County, MI",13-14,5,26,264
"Allegan County, MI",15-16,5,26,236
"Allegan County, MI",17-18,5,26,235
"Allegan County, MI",19-20,5,26,117
"Allegan County, MI",21-22,5,26,227
"Allegany County, MD",11-12,1,24,419
"Allegany County, MD",13-14,1,24,363
"Allegany County, MD",15-16,1,24,324
"Allegany County, MD",17-18,1,24,354
"Allegany County, MD",19-20,1,24,405
"Allegany County, MD",21-22,1,24,343
"Allegany County, NY",11-12,3,36,166
"Allegany County, NY",13-14,3,36,162
"Allegany County, NY",15-16,3,36,134
"Allegany County, NY",17-18,3,36,133
"Allegany County, NY",19-20,3,36,136
"Allegany County, NY",21-22,3,36,76
"Allegheny County, PA",11-12,3,42,14103
"Allegheny County, PA",13-14,3,42,12547
"Allegheny County, PA",15-16,3,42,10818
"Allegheny County, PA",17-18,3,42,10232
"Allegheny County, PA",19-20,3,42,10087
"Allegheny County, PA",21-22,3,42,8144
"Allen County, IN",11-12,3,18,5824
"Allen County, IN",13-14,3,18,6048
"Allen County, IN",15-16,3,18,5509
"Allen County, IN",17-18,3,18,5667
"Allen County, IN",19-20,3,18,4930
"Allen County, IN",21-22,3,18,5383
"Allen County, OH",11-12,3,39,2026
"Allen County, OH",13-14,3,39,2266
"Allen County, OH",15-16,3,39,1345
"Allen County, OH",17-18,3,39,1493
"Allen County, OH",19-20,3,39,1613
"Allen County, OH",21-22,3,39,981
"Alpena County, MI",11-12,7,26,105
"Alpena County, MI",13-14,7,26,139
"Alpena County, MI",15-16,7,26,117
"Alpena County, MI",17-18,7,26,117
"Alpena County, MI",19-20,7,26,133
"Alpena County, MI",21-22,7,26,74
"Anchorage Municipality, AK",11-12,20,2,331
"Anchorage Municipality, AK",13-14,20,2,355
"Anchorage Municipality, AK",15-16,20,2,388
"Anchorage Municipality, AK",17-18,20,2,368
"Anchorage Municipality, AK",19-20,20,2,372
"Anchorage Municipality, AK",21-22,20,2,451
"Anderson County, KS",11-12,3,20,65
"Anderson County, KS",13-14,3,20,46
"Anderson County, KS",15-16,3,20,67
"Anderson County, KS",17-18,3,20,82
"Anderson County, KS",19-20,3,20,105
"Anderson County, KS",21-22,3,20,107
"Anderson County, SC",11-12,7,45,90
"Anderson County, SC",13-14,7,45,82
"Anderson County, SC",19-20,7,45,57
"Anderson County, SC",21-22,7,45,98
"Anderson County, TN",11-12,1,47,206
"Anderson County, TN",13-14,1,47,163
"Anderson County, TN",15-16,1,47,157
"Anderson County, TN",17-18,1,47,186
"Anderson County, TN",19-20,1,47,179
"Anderson County, TN",21-22,1,47,196
"Androscoggin County, ME",11-12,1,23,563
"Androscoggin County, ME",17-18,1,23,524
"Androscoggin County, ME",19-20,1,23,431
"Androscoggin County, ME",21-22,1,23,696
"Angelina County, TX",11-12,5,48,90
"Angelina County, TX",13-14,5,48,105
"Angelina County, TX",15-16,5,48,133
"Angelina County, TX",17-18,5,48,79
"Angelina County, TX",19-20,5,48,62
"Angelina County, TX",21-22,5,48,85
"Anne Arundel County, MD",11-12,3,24,5269
"Anne Arundel County, MD",13-14,3,24,5133
"Anne Arundel County, MD",15-16,3,24,3693
"Anne Arundel County, MD",17-18,3,24,5653
"Anne Arundel County, MD",19-20,3,24,6743
"Anne Arundel County, MD",21-22,3,24,5538
"Anoka County, MN",11-12,3,27,1930
"Anoka County, MN",13-14,3,27,1479
"Anoka County, MN",15-16,3,27,1394
"Anoka County, MN",17-18,3,27,1786
"Anoka County, MN",19-20,3,27,873
"Anoka County, MN",21-22,3,27,1672
"Antelope County, NE",11-12,3,31,150
"Antelope County, NE",13-14,3,31,130
"Antelope County, NE",15-16,3,31,133
"Antelope County, NE",17-18,3,31,131
"Antelope County, NE",19-20,3,31,132
"Antelope County, NE",21-22,3,31,127
"Apache County, AZ",11-12,1,4,342
"Apache County, AZ",13-14,1,4,344
"Apache County, AZ",15-16,1,4,389
"Apache County, AZ",17-18,1,4,344
"Aransas County, TX",11-12,7,48,144
"Aransas County, TX",13-14,7,48,168
"Aransas County, TX",15-16,7,48,158
"Aransas County, TX",21-22,7,48,108
"Arapahoe County, CO",11-12,5,8,4599
"Arapahoe County, CO",13-14,5,8,2963
"Arapahoe County, CO",15-16,5,8,4122
"Arapahoe County, CO",17-18,5,8,3073
"Arapahoe County, CO",19-20,5,8,4073
"Arapahoe County, CO",21-22,5,8,4514
"Arkansas County, AR",11-12,1,5,52
"Arkansas County, AR",13-14,1,5,45
"Arkansas County, AR",15-16,1,5,53
"Arkansas County, AR",21-22,1,5,109
"Arlington County, VA",11-12,13,51,2397
"Arlington County, VA",13-14,13,51,2390
"Arlington County, VA",15-16,13,51,654
"Arlington County, VA",17-18,13,51,871
"Arlington County, VA",19-20,13,51,1778
"Arlington County, VA",21-22,13,51,2373
"Armstrong County, PA",11-12,5,42,156
"Armstrong County, PA",13-14,5,42,153
"Armstrong County, PA",15-16,5,42,290
"Armstrong County, PA",17-18,5,42,252
"Armstrong County, PA",19-20,5,42,242
"Armstrong County, PA",21-22,5,42,271
"Ascension Parish, LA",11-12,5,22,1041
"Ascension Parish, LA",13-14,5,22,1430
"Ascension Parish, LA",15-16,5,22,844
"Ascension Parish, LA",17-18,5,22,825
"Ascension Parish, LA",19-20,5,22,405
"Ascension Parish, LA",21-22,5,22,413
"Ashland County, OH",11-12,5,39,143
"Ashland County, OH",13-14,5,39,154
"Ashland County, OH",15-16,5,39,175
"Ashland County, OH",17-18,5,39,172
"Ashland County, OH",19-20,5,39,141
"Ashland County, OH",21-22,5,39,105
"Ashland County, WI",11-12,3,55,161
"Ashland County, WI",13-14,3,55,133
"Ashland County, WI",15-16,3,55,108
"Ashland County, WI",17-18,3,55,125
"Ashland County, WI",19-20,3,55,127
"Ashland County, WI",21-22,3,55,124
"Ashtabula County, OH",11-12,7,39,673
"Ashtabula County, OH",13-14,7,39,721
"Ashtabula County, OH",15-16,7,39,413
"Ashtabula County, OH",17-18,7,39,404
"Ashtabula County, OH",21-22,7,39,496
"Asotin County, WA",11-12,3,53,117
"Asotin County, WA",13-14,3,53,117
"Asotin County, WA",15-16,3,53,112
"Asotin County, WA",17-18,3,53,126
"Asotin County, WA",19-20,3,53,122
"Asotin County, WA",21-22,3,53,152
"Assumption Parish, LA",11-12,7,22,248
"Assumption Parish, LA",13-14,7,22,212
"Assumption Parish, LA",17-18,7,22,236
"Assumption Parish, LA",19-20,7,22,209
"Assumption Parish, LA",21-22,7,22,168
"Atascosa County, TX",17-18,13,48,80
"Atascosa County, TX",19-20,13,48,77
"Atascosa County, TX",21-22,13,48,64
"Atchison County, KS",11-12,5,20,407
"Atchison County, KS",13-14,5,20,390
"Atchison County, KS",15-16,5,20,434
"Atchison County, KS",17-18,5,20,431
"Atchison County, KS",19-20,5,20,396
"Atchison County, KS",21-22,5,20,359
"Atlantic County, NJ",11-12,1,34,3561
"Atlantic County, NJ",13-14,1,34,3272
"Atlantic County, NJ",15-16,1,34,2598
"Atlantic County, NJ",17-18,1,34,2594
"Atlantic County, NJ",19-20,1,34,1341
"Atlantic County, NJ",21-22,1,34,1526
"Audrain County, MO",11-12,7,29,218
"Audrain County, MO",13-14,7,29,225
"Audrain County, MO",15-16,7,29,239
"Audrain County, MO",17-18,7,29,53
"Audrain County, MO",19-20,7,29,247
"Audrain County, MO",21-22,7,29,251
"Auglaize County, OH",11-12,11,39,129
"Auglaize County, OH",13-14,11,39,137
"Auglaize County, OH",15-16,11,39,133
"Auglaize County, OH",17-18,11,39,165
"Auglaize County, OH",19-20,11,39,172
"Auglaize County, OH",21-22,11,39,167
"Avoyelles Parish, LA",11-12,9,22,1043
"Avoyelles Parish, LA",13-14,9,22,1018
"Avoyelles Parish, LA",15-16,9,22,1064
"Avoyelles Parish, LA",17-18,9,22,1033
"Avoyelles Parish, LA",19-20,9,22,743
"Avoyelles Parish, LA",21-22,9,22,909
"Baldwin County, AL",11-12,3,1,867
"Baldwin County, AL",13-14,3,1,844
"Baldwin County, AL",15-16,3,1,608
"Baldwin County, AL",17-18,3,1,1060
"Baldwin County, AL",19-20,3,1,1164
"Baldwin County, AL",21-22,3,1,1125
"Baltimore City, MD",11-12,510,24,5824
