County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Acadia Parish, LA",21-22,1,22,1375,1500.0,0.9166666666666666,-125.0,883.0,16.55629139072848,730.0,31.031220435193944,1240.0,1.1088709677419355,135.0,159.0,85.31598513011153,311.0,71.18959107806691,1975.0,0.6962025316455697,-600.0,927.0,16.1231884057971,786.0,28.894927536231883
"Ada County, ID",21-22,1,16,2569,1863.0,1.3789586688137412,706.0,56.0,94.79659413434248,141.0,86.75496688741721,1855.0,1.3849056603773584,714.0,34.0,96.93308550185874,131.0,87.9182156133829,1729.0,1.48582995951417,840.0,8.0,99.36594202898551,83.0,92.57246376811594
"Adair County, MO",21-22,1,29,72,80.0,0.9,-8.0,627.0,40.77578051087985,764.0,27.81456953642384,68.0,1.0588235294117647,4.0,422.0,60.87360594795539,374.0,65.33457249070632,67.0,1.0746268656716418,5.0,310.0,72.01086956521739,270.0,75.63405797101449
"Adams County, CO",21-22,1,8,626,419.0,1.494033412887828,207.0,158.0,85.14664143803216,113.0,89.40397350993378,298.0,2.1006711409395975,328.0,80.0,92.65799256505576,37.0,96.6542750929368,484.0,1.2933884297520661,142.0,85.0,92.3913043478261,140.0,87.40942028985508
"Adams County, IL",21-22,1,17,813,817.0,0.9951040391676866,-4.0,597.0,43.614001892147584,580.0,45.22232734153264,1299.0,0.625866050808314,-486.0,952.0,11.617100371747211,960.0,10.87360594795539,728.0,1.1167582417582418,85.0,115.0,89.67391304347827,220.0,80.16304347826086
"Adams County, NE",21-22,1,31,482,727.0,0.6629986244841816,-245.0,937.0,11.447492904446547,978.0,7.5685903500473035,473.0,1.0190274841437632,9.0,391.0,63.7546468401487,425.0,60.594795539033456,477.0,1.0104821802935011,5.0,310.0,72.01086956521739,327.0,70.47101449275362
"Adams County, PA",21-22,1,42,699,720.0,0.9708333333333333,-21.0,717.0,32.26111636707663,632.0,40.30274361400189,1218.0,0.5738916256157636,-519.0,959.0,10.966542750929369,998.0,7.342007434944238,1342.0,0.5208643815201193,-643.0,944.0,14.583333333333334,973.0,11.956521739130435
"Aiken County, SC",21-22,3,45,376,212.0,1.7735849056603774,164.0,181.0,82.97067171239357,63.0,94.13434247871334,204.0,1.8431372549019607,172.0,134.0,87.63940520446096,58.0,94.70260223048327,349.0,1.0773638968481376,27.0,220.0,80.16304347826086,268.0,75.81521739130434
"Alachua County, FL",21-22,1,12,668,1104.0,0.605072463768116,-436.0,984.0,7.000946073793755,1004.0,5.10879848628193,1068.0,0.6254681647940075,-400.0,934.0,13.289962825278812,961.0,10.780669144981413,930.0,0.7182795698924731,-262.0,815.0,26.268115942028984,763.0,30.978260869565215
"Alamance County, NC",21-22,1,37,203,219.0,0.9269406392694064,-16.0,692.0,34.62630085146641,713.0,32.63954588457899,222.0,0.9144144144144144,-19.0,610.0,43.40148698884758,633.0,41.2639405204461,176.0,1.1534090909090908,27.0,220.0,80.16304347826086,206.0,81.43115942028986
"Alameda County, CA",21-22,1,6,7132,7535.0,0.9465162574651625,-403.0,977.0,7.663197729422895,675.0,36.23462630085147,8101.0,0.8803851376373287,-969.0,1005.0,6.691449814126393,692.0,35.78066914498142,9273.0,0.7691146338833171,-2141.0,1042.0,5.706521739130435,680.0,38.4963768115942
"Albany County, NY",21-22,1,36,1286,1919.0,0.6701406982803544,-633.0,1010.0,4.541154210028382,974.0,7.9470198675496695,2584.0,0.49767801857585137,-1298.0,1029.0,4.4609665427509295,1023.0,5.018587360594796,2472.0,0.5202265372168284,-1186.0,1000.0,9.510869565217392,974.0,11.865942028985508
"Albemarle County, VA",21-22,3,51,336,319.0,1.0532915360501567,17.0,403.0,61.9678334910123,447.0,57.80510879848628,312.0,1.0769230769230769,24.0,311.0,71.18959107806691,350.0,67.56505576208178,349.0,0.9627507163323782,-13.0,409.0,63.04347826086957,389.0,64.85507246376811
"Alexandria City, VA",21-22,510,51,2062,2055.0,1.0034063260340633,7.0,478.0,54.87228003784295,556.0,47.49290444654683,2064.0,0.999031007751938,-2.0,489.0,54.646840148698885,477.0,55.762081784386616,2100.0,0.981904761904762,-38.0,526.0,52.44565217391305,370.0,66.57608695652173
"Allegan County, MI",21-22,5,26,227,117.0,1.9401709401709402,110.0,219.0,79.3755912961211,45.0,95.83727530747397,235.0,0.9659574468085106,-8.0,534.0,50.46468401486989,539.0,50.0,324.0,0.7006172839506173,-97.0,686.0,37.95289855072464,784.0,29.076086956521742
"Allegany County, MD",21-22,1,24,343,405.0,0.8469135802469135,-62.0,849.0,19.77294228949858,845.0,20.151371807000945,354.0,0.9689265536723164,-11.0,550.0,48.97769516728624,534.0,50.46468401486989,419.0,0.8186157517899761,-76.0,640.0,42.119565217391305,612.0,44.655797101449274
"Allegany County, NY",21-22,3,36,76,136.0,0.5588235294117647,-60.0,844.0,20.245979186376537,1019.0,3.6896877956480605,133.0,0.5714285714285714,-57.0,724.0,32.806691449814124,999.0,7.24907063197026,166.0,0.4578313253012048,-90.0,672.0,39.221014492753625,1029.0,6.884057971014493
"Allegheny County, PA",21-22,3,42,8144,10087.0,0.8073758302765937,-1943.0,1052.0,0.5676442762535477,887.0,16.177861873226114,10232.0,0.7959343236903831,-2088.0,1053.0,2.2304832713754648,811.0,24.721189591078065,14103.0,0.5774657874211161,-5959.0,1094.0,0.9963768115942028,927.0,16.1231884057971
"Allen County, IN",21-22,3,18,5383,4930.0,1.0918864097363083,453.0,91.0,91.48533585619678,377.0,64.42762535477767,5667.0,0.9498853008646551,-284.0,903.0,16.171003717472118,570.0,47.11895910780669,5824.0,0.9242788461538461,-441.0,890.0,19.47463768115942,446.0,59.69202898550725
"Allen County, OH",21-22,3,39,981,1613.0,0.6081835089894606,-632.0,1009.0,4.635761589403973,1003.0,5.203405865657521,1493.0,0.6570663094440723,-512.0,956.0,11.245353159851302,937.0,13.011152416356877,2026.0,0.48420533070088845,-1045.0,990.0,10.416666666666668,1011.0,8.51449275362319
"Alpena County, MI",21-22,7,26,74,133.0,0.556390977443609,-59.0,841.0,20.52980132450331,1022.0,3.405865657521287,117.0,0.6324786324786325,-43.0,691.0,35.87360594795539,952.0,11.617100371747211,105.0,0.7047619047619048,-31.0,491.0,55.61594202898551,780.0,29.438405797101446
"Anchorage Municipality, AK",21-22,20,2,451,372.0,1.2123655913978495,79.0,256.0,75.87511825922422,239.0,77.48344370860927,368.0,1.2255434782608696,83.0,196.0,81.87732342007436,205.0,81.04089219330855,331.0,1.3625377643504533,120.0,95.0,91.48550724637681,118.0,89.40217391304348
"Anderson County, KS",21-22,3,20,107,105.0,1.019047619047619,2.0,541.0,48.912015137180695,515.0,51.37180700094608,82.0,1.3048780487804879,25.0,306.0,71.6542750929368,164.0,84.85130111524164,65.0,1.646153846153846,42.0,176.0,84.14855072463769,53.0,95.28985507246377
"Anderson County, SC",21-22,7,45,98,57.0,1.719298245614035,41.0,309.0,70.86092715231787,73.0,93.18826868495744,,,,,,,,90.0,1.0888888888888888,8.0,299.0,73.0072463768116,256.0,76.90217391304348
"Anderson County, TN",21-22,1,47,196,179.0,1.094972067039106,17.0,403.0,61.9678334910123,374.0,64.71144749290445,186.0,1.053763440860215,10.0,385.0,64.31226765799256,380.0,64.77695167286245,206.0,0.9514563106796117,-10.0,390.0,64.76449275362319,406.0,63.315217391304344
"Androscoggin County, ME",21-22,1,23,696,431.0,1.6148491879350348,265.0,135.0,87.32261116367077,88.0,91.76915799432356,524.0,1.3282442748091603,172.0,134.0,87.63940520446096,158.0,85.40892193308551,563.0,1.236234458259325,133.0,90.0,91.93840579710145,160.0,85.59782608695652
"Angelina County, TX",21-22,5,48,85,62.0,1.3709677419354838,23.0,373.0,64.80605487228004,144.0,86.47114474929045,79.0,1.0759493670886076,6.0,418.0,61.2453531598513,352.0,67.37918215613384,90.0,0.9444444444444444,-5.0,370.0,66.57608695652173,416.0,62.40942028985508
"Anne Arundel County, MD",21-22,3,24,5538,6743.0,0.8212961589796827,-1205.0,1042.0,1.5137180700094608,870.0,17.786187322611163,5653.0,0.9796568193879356,-115.0,808.0,25.0,515.0,52.23048327137546,5269.0,1.051053330802809,269.0,47.0,95.83333333333334,284.0,74.36594202898551
"Anoka County, MN",21-22,3,27,1672,873.0,1.9152348224513174,799.0,44.0,95.93188268684958,47.0,95.6480605487228,1786.0,0.9361702127659575,-114.0,807.0,25.092936802973973,595.0,44.795539033457246,1930.0,0.8663212435233161,-258.0,812.0,26.53985507246377,547.0,50.54347826086957
"Antelope County, NE",21-22,3,31,127,132.0,0.9621212121212122,-5.0,606.0,42.762535477767265,645.0,39.0728476821192,131.0,0.9694656488549618,-4.0,502.0,53.438661710037174,532.0,50.65055762081785,150.0,0.8466666666666667,-23.0,455.0,58.87681159420289,573.0,48.188405797101446
"Aransas County, TX",21-22,7,48,108,,,,,,,,,,,,,,,144.0,0.75,-36.0,517.0,53.2608695652174,714.0,35.41666666666667
"Arapahoe County, CO",21-22,5,8,4514,4073.0,1.1082739995089614,441.0,92.0,91.3907284768212,358.0,66.22516556291392,3073.0,1.4689228766677513,1441.0,7.0,99.44237918215613,111.0,89.77695167286245,4599.0,0.9815177212437486,-85.0,660.0,40.30797101449276,372.0,66.39492753623189
"Arkansas County, AR",21-22,1,5,109,,,,,,,,,,,,,,,52.0,2.0961538461538463,57.0,151.0,86.41304347826086,19.0,98.36956521739131
"Arlington County, VA",21-22,13,51,2373,1778.0,1.3346456692913387,595.0,66.0,93.85052034058657,163.0,84.67360454115422,871.0,2.724454649827784,1502.0,6.0,99.53531598513011,25.0,97.76951672862454,2397.0,0.9899874843554443,-24.0,461.0,58.333333333333336,361.0,67.3913043478261
"Armstrong County, PA",21-22,5,42,271,242.0,1.1198347107438016,29.0,349.0,67.07663197729423,340.0,67.92809839167455,252.0,1.0753968253968254,19.0,335.0,68.95910780669145,353.0,67.28624535315984,156.0,1.7371794871794872,115.0,99.0,91.12318840579711,45.0,96.01449275362319
"Ascension Parish, LA",21-22,5,22,413,405.0,1.019753086419753,8.0,469.0,55.723746452223274,513.0,51.561021759697255,825.0,0.5006060606060606,-412.0,939.0,12.825278810408921,1021.0,5.204460966542751,1041.0,0.3967339097022094,-628.0,937.0,15.217391304347828,1058.0,4.257246376811595
"Ashland County, OH",21-22,5,39,105,141.0,0.7446808510638298,-36.0,784.0,25.922421948912017,933.0,11.825922421948912,172.0,0.6104651162790697,-67.0,748.0,30.576208178438662,971.0,9.851301115241636,143.0,0.7342657342657343,-38.0,526.0,52.44565217391305,735.0,33.51449275362319
"Ashland County, WI",21-22,3,55,124,127.0,0.9763779527559056,-3.0,590.0,44.276253547776726,612.0,42.19489120151372,125.0,0.992,-1.0,477.0,55.762081784386616,486.0,54.92565055762082,161.0,0.7701863354037267,-37.0,520.0,52.9891304347826,678.0,38.677536231884055
"Ashtabula County, OH",21-22,7,39,496,,,,,,,,404.0,1.2277227722772277,92.0,189.0,82.5278810408922,203.0,81.22676579925651,673.0,0.736998514115899,-177.0,771.0,30.253623188405797,732.0,33.78623188405797
"Asotin County, WA",21-22,3,53,152,122.0,1.2459016393442623,30.0,344.0,67.54966887417218,208.0,80.4162724692526,126.0,1.2063492063492063,26.0,304.0,71.84014869888475,219.0,79.73977695167285,117.0,1.2991452991452992,35.0,198.0,82.15579710144928,137.0,87.68115942028986
