Diocese,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Albany, NY",21-22,3956,4164,0.9500480307396734,-208,123.0,30.28571428571429,130.0,26.285714285714285,5298,0.7466968667421668,-1342,127.0,28.000000000000004,155.0,12.0,6478,0.6106823093547391,-2522,118.0,33.14285714285714,145.0,17.71428571428571
"Alexandria, LA",21-22,1963,2275,0.8628571428571429,-312,132.0,25.142857142857146,150.0,14.857142857142858,2635,0.7449715370018976,-672,114.0,35.42857142857142,157.0,10.857142857142858,2522,0.7783505154639175,-559,57.0,68.0,98.0,44.57142857142857
"Allentown, PA",21-22,7098,10267,0.6913411902210967,-3169,175.0,0.5714285714285714,170.0,3.428571428571429,10254,0.6922176711527209,-3156,161.0,8.571428571428571,165.0,6.2857142857142865,11120,0.6383093525179856,-4022,141.0,20.0,139.0,21.142857142857142
"Altoona-Johnstown, PA",21-22,3104,2094,1.4823304680038205,1010,33.0,81.71428571428572,7.0,96.57142857142857,3403,0.9121363502791654,-299,91.0,48.57142857142857,102.0,42.285714285714285,4271,0.7267618824631233,-1167,82.0,53.714285714285715,118.0,33.14285714285714
"Amarillo, TX",21-22,535,795,0.6729559748427673,-260,127.0,28.000000000000004,171.0,2.857142857142857,864,0.6192129629629629,-329,93.0,47.42857142857143,170.0,3.428571428571429,670,0.7985074626865671,-135,37.0,79.42857142857143,87.0,50.857142857142854
"Anchorage, AK",21-22,451,435,1.0367816091954023,16,107.0,39.42857142857143,95.0,46.285714285714285,517,0.8723404255319149,-66,76.0,57.14285714285714,110.0,37.714285714285715,481,0.9376299376299376,-30,33.0,81.71428571428572,38.0,78.85714285714286
"Arlington, VA",21-22,16889,13786,1.2250834179602494,3103,3.0,98.85714285714286,28.0,84.57142857142857,14539,1.161634225187427,2350,4.0,98.28571428571429,23.0,87.42857142857143,16283,1.0372167291039736,606,12.0,93.71428571428572,25.0,86.28571428571429
"Atlanta, GA",21-22,9437,9768,0.9661138411138411,-331,135.0,23.42857142857143,124.0,29.714285714285715,11727,0.8047241408714931,-2290,147.0,16.57142857142857,135.0,23.42857142857143,11853,0.7961697460558509,-2416,117.0,33.714285714285715,89.0,49.714285714285715
"Austin, TX",21-22,5523,4999,1.1048209641928386,524,60.0,66.28571428571428,61.0,65.71428571428571,5633,0.980472217290964,-110,80.0,54.85714285714286,79.0,55.42857142857143,5150,1.0724271844660194,373,16.0,91.42857142857143,21.0,88.57142857142857
"Baker, OR",21-22,554,531,1.0433145009416196,23,106.0,40.0,89.0,49.714285714285715,259,2.138996138996139,295,39.0,78.28571428571428,1.0,100.0,232,2.3879310344827585,322,17.0,90.85714285714286,2.0,99.42857142857143
"Baltimore, MD",21-22,24774,23562,1.0514387573211104,1212,27.0,85.14285714285714,83.0,53.142857142857146,25163,0.9845407940229702,-389,97.0,45.14285714285714,77.0,56.57142857142857,27543,0.8994662890752642,-2769,124.0,29.714285714285715,52.0,70.85714285714285
