State,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
AK,21-22,1137,807,1.4089219330855018,330,30.0,43.13725490196079,1.0,100.0,1017,1.1179941002949854,120,14.0,74.50980392156863,10.0,82.35294117647058,1064,1.068609022556391,73,5.0,92.15686274509804,3.0,96.07843137254902
AL,21-22,9174,8834,1.0384876613085805,340,29.0,45.09803921568628,26.0,50.98039215686274,10628,0.8631915694392172,-1454,30.0,43.13725490196079,36.0,31.372549019607842,11953,0.7675060654229063,-2779,25.0,52.94117647058824,30.0,43.13725490196079
AR,21-22,6285,5297,1.186520672078535,988,19.0,64.70588235294117,10.0,82.35294117647058,6044,1.0398742554599603,241,13.0,76.47058823529412,14.0,74.50980392156863,7015,0.8959372772630079,-730,13.0,76.47058823529412,15.0,72.54901960784314
AZ,21-22,20261,16629,1.2184136147693787,3632,7.0,88.23529411764706,8.0,86.27450980392157,18831,1.0759386118634167,1430,5.0,92.15686274509804,12.0,78.43137254901961,20446,0.9909517754083929,-185,8.0,86.27450980392157,8.0,86.27450980392157
CA,21-22,162607,157646,1.0314692412113216,4961,3.0,96.07843137254902,27.0,49.01960784313725,185995,0.8742546842657061,-23388,50.0,3.9215686274509802,34.0,35.294117647058826,207317,0.784339923884679,-44710,49.0,5.88235294117647,28.0,47.05882352941176
CO,21-22,14294,14006,1.020562616021705,288,31.0,41.17647058823529,31.0,41.17647058823529,13305,1.0743329575347613,989,9.0,84.31372549019608,13.0,76.47058823529412,17151,0.8334207917905662,-2857,26.0,50.98039215686274,21.0,60.78431372549019
CT,21-22,18929,18136,1.0437251874724305,793,23.0,56.86274509803921,25.0,52.94117647058824,20597,0.9190173326212555,-1668,33.0,37.254901960784316,27.0,49.01960784313725,31309,0.6045865406113258,-12380,41.0,21.568627450980394,46.0,11.76470588235294
DC,21-22,6125,5029,1.2179359713660767,1096,16.0,70.58823529411765,9.0,84.31372549019608,4778,1.2819171201339472,1347,7.0,88.23529411764706,3.0,96.07843137254902,6166,0.9933506325008109,-41,7.0,88.23529411764706,7.0,88.23529411764706
DE,21-22,5266,5162,1.0201472297559087,104,34.0,35.294117647058826,32.0,39.21568627450981,6127,0.8594744573200588,-861,26.0,50.98039215686274,38.0,27.450980392156865,9554,0.5511827506803433,-4288,31.0,41.17647058823529,49.0,5.88235294117647
FL,21-22,75992,74973,1.0135915596281329,1019,18.0,66.66666666666666,33.0,37.254901960784316,78202,0.9717398532006855,-2210,35.0,33.33333333333333,22.0,58.82352941176471,80299,0.9463629684055841,-4307,32.0,39.21568627450981,10.0,82.35294117647058
