School Year,State,Diocese,County & State,State ANSI Code,County Code,Enrollment
11-12,AK,"Anchorage, AK","Anchorage Municipality, AK",2,20,331
11-12,AK,"Anchorage, AK","Kodiak Island Borough, AK",2,150,93
11-12,AK,"Anchorage, AK","Matanuska-Susitna Borough, AK",2,170,57
11-12,AK,"Fairbanks, AK","Fairbanks North Star Borough, AK",2,90,491
11-12,AK,"Juneau, AK","Ketchikan Gateway Borough, AK",2,130,92
11-12,AL,"Birmingham, AL","Calhoun County, AL",1,15,246
11-12,AL,"Birmingham, AL","Cullman County, AL",1,43,307
11-12,AL,"Birmingham, AL","Etowah County, AL",1,55,113
11-12,AL,"Birmingham, AL","Jefferson County, AL",1,73,2706
11-12,AL,"Birmingham, AL","Lauderdale County, AL",1,77,189
11-12,AL,"Birmingham, AL","Madison County, AL",1,89,1445
11-12,AL,"Birmingham, AL","Morgan County, AL",1,103,105
11-12,AL,"Birmingham, AL","Shelby County, AL",1,117,412
11-12,AL,"Birmingham, AL","Tuscaloosa County, AL",1,125,245
11-12,AL,"Mobile, AL","Baldwin County, AL",1,3,867
11-12,AL,"Mobile, AL","Houston County, AL",1,69,37
11-12,AL,"Mobile, AL","Macon County, AL",1,87,62
11-12,AL,"Mobile, AL","Mobile County, AL",1,97,4063
11-12,AL,"Mobile, AL","Montgomery County, AL",1,101,1020
11-12,AL,"Mobile, AL","Russell County, AL",1,113,136
11-12,AR,"Little Rock, AR","Arkansas County, AR",5,1,52
11-12,AR,"Little Rock, AR","Benton County, AR",5,7,316
11-12,AR,"Little Rock, AR","Chicot County, AR",5,17,60
11-12,AR,"Little Rock, AR","Conway County, AR",5,29,224
11-12,AR,"Little Rock, AR","Craighead County, AR",5,31,124
11-12,AR,"Little Rock, AR","Crittenden County, AR",5,35,85
11-12,AR,"Little Rock, AR","Faulkner County, AR",5,45,456
11-12,AR,"Little Rock, AR","Garland County, AR",5,51,113
11-12,AR,"Little Rock, AR","Greene County, AR",5,55,51
11-12,AR,"Little Rock, AR","Jefferson County, AR",5,69,145
11-12,AR,"Little Rock, AR","Logan County, AR",5,83,261
11-12,AR,"Little Rock, AR","Pope County, AR",5,115,90
11-12,AR,"Little Rock, AR","Pulaski County, AR",5,119,3368
11-12,AR,"Little Rock, AR","Randolph County, AR",5,121,127
11-12,AR,"Little Rock, AR","Saline County, AR",5,125,66
11-12,AR,"Little Rock, AR","Sebastian County, AR",5,131,1030
11-12,AR,"Little Rock, AR","Washington County, AR",5,143,447
11-12,AZ,"Gallup, NM","Apache County, AZ",4,1,342
11-12,AZ,"Phoenix, AZ","Coconino County, AZ",4,5,223
11-12,AZ,"Phoenix, AZ","Maricopa County, AZ",4,13,12912
11-12,AZ,"Phoenix, AZ","Navajo County, AZ",4,17,214
11-12,AZ,"Phoenix, AZ","Pinal County, AZ",4,21,187
11-12,AZ,"Phoenix, AZ","Yavapai County, AZ",4,25,442
11-12,AZ,"Tucson, AZ","Cochise County, AZ",4,3,307
11-12,AZ,"Tucson, AZ","Gila County, AZ",4,7,129
11-12,AZ,"Tucson, AZ","Pima County, AZ",4,19,4440
11-12,AZ,"Tucson, AZ","Pinal County, AZ",4,21,228
11-12,AZ,"Tucson, AZ","Santa Cruz County, AZ",4,23,522
11-12,AZ,"Tucson, AZ","Yuma County, AZ",4,27,500
11-12,CA,"Fresno, CA","Fresno County, CA",6,19,2263
11-12,CA,"Fresno, CA","Kern County, CA",6,29,1714
11-12,CA,"Fresno, CA","Kings County, CA",6,31,361
11-12,CA,"Fresno, CA","Madera County, CA",6,39,334
11-12,CA,"Fresno, CA","Merced County, CA",6,47,835
11-12,CA,"Fresno, CA","Tulare County, CA",6,107,625
11-12,CA,"Los Angeles, CA","Los Angeles County, CA",6,37,69866
11-12,CA,"Los Angeles, CA","Santa Barbara County, CA",6,83,2081
11-12,CA,"Los Angeles, CA","Ventura County, CA",6,111,3996
11-12,CA,"Monterey, CA","Monterey County, CA",6,53,1857
11-12,CA,"Monterey, CA","San Benito County, CA",6,69,267
11-12,CA,"Monterey, CA","San Luis Obispo County, CA",6,79,1242
11-12,CA,"Monterey, CA","Santa Cruz County, CA",6,87,1024
11-12,CA,"Oakland, CA","Alameda County, CA",6,1,9273
11-12,CA,"Oakland, CA","Contra Costa County, CA",6,13,7491
11-12,CA,"Orange, CA","Orange County, CA",6,59,19604
11-12,CA,"Sacramento, CA","Butte County, CA",6,7,295
11-12,CA,"Sacramento, CA","Colusa County, CA",6,11,127
11-12,CA,"Sacramento, CA","El Dorado County, CA",6,17,436
11-12,CA,"Sacramento, CA","Nevada County, CA",6,57,158
11-12,CA,"Sacramento, CA","Placer County, CA",6,61,516
11-12,CA,"Sacramento, CA","Sacramento County, CA",6,67,8232
11-12,CA,"Sacramento, CA","Shasta County, CA",6,89,161
11-12,CA,"Sacramento, CA","Solano County, CA",6,95,2578
11-12,CA,"Sacramento, CA","Sutter County, CA",6,101,225
11-12,CA,"Sacramento, CA","Tehama County, CA",6,103,227
11-12,CA,"Sacramento, CA","Yolo County, CA",6,113,890
11-12,CA,"San Bernardino, CA","Riverside County, CA",6,65,4103
11-12,CA,"San Bernardino, CA","San Bernardino County, CA",6,71,3197
11-12,CA,"San Diego, CA","Imperial County, CA",6,25,1152
11-12,CA,"San Diego, CA","San Diego County, CA",6,73,15285
11-12,CA,"San Francisco, CA","Marin County, CA",6,41,2891
11-12,CA,"San Francisco, CA","San Francisco County, CA",6,75,12492
11-12,CA,"San Francisco, CA","San Mateo County, CA",6,81,8640
11-12,CA,"San Jose, CA","Santa Clara County, CA",6,85,14848
11-12,CA,"Santa Rosa, CA","Humboldt County, CA",6,23,348
11-12,CA,"Santa Rosa, CA","Mendocino County, CA",6,45,229
11-12,CA,"Santa Rosa, CA","Napa County, CA",6,55,809
11-12,CA,"Santa Rosa, CA","Sonoma County, CA",6,97,2564
11-12,CA,"Stockton, CA","San Joaquin County, CA",6,77,2682
11-12,CA,"Stockton, CA","Stanislaus County, CA",6,99,1399
11-12,CO,"Colorado Springs, CO","Douglas County, CO",8,35,490
11-12,CO,"Colorado Springs, CO","El Paso County, CO",8,41,1097
11-12,CO,"Denver, CO","Adams County, CO",8,1,484
11-12,CO,"Denver, CO","Arapahoe County, CO",8,5,4599
11-12,CO,"Denver, CO","Boulder County, CO",8,13,935
11-12,CO,"Denver, CO","Broomfield County, CO",8,14,1034
11-12,CO,"Denver, CO","Denver County, CO",8,31,5150
11-12,CO,"Denver, CO","Eagle County, CO",8,37,157
11-12,CO,"Denver, CO","Garfield County, CO",8,45,211
11-12,CO,"Denver, CO","Jefferson County, CO",8,59,1200
11-12,CO,"Denver, CO","Larimer County, CO",8,69,461
11-12,CO,"Denver, CO","Logan County, CO",8,75,177
11-12,CO,"Denver, CO","Weld County, CO",8,123,185
11-12,CO,"Pueblo, CO","La Plata County, CO",8,67,247
11-12,CO,"Pueblo, CO","Mesa County, CO",8,77,387
11-12,CO,"Pueblo, CO","Montrose County, CO",8,85,28
11-12,CO,"Pueblo, CO","Pueblo County, CO",8,101,309
11-12,CT,"Bridgeport, CT","Fairfield County, CT",9,1,11038
11-12,CT,"Hartford, CT","Hartford County, CT",9,3,6652
11-12,CT,"Hartford, CT","Litchfield County, CT",9,5,924
11-12,CT,"Hartford, CT","New Haven County, CT",9,9,7824
11-12,CT,"Norwich, CT","Middlesex County, CT",9,7,2016
11-12,CT,"Norwich, CT","New London County, CT",9,11,1783
11-12,CT,"Norwich, CT","Tolland County, CT",9,13,173
11-12,CT,"Norwich, CT","Windham County, CT",9,15,899
11-12,DC,"Washington, DC","District Of Columbia, DC",11,1,6166
11-12,DE,"Wilmington, DE","Kent County, DE",10,1,822
11-12,DE,"Wilmington, DE","New Castle County, DE",10,3,8726
11-12,DE,"Wilmington, DE","Sussex County, DE",10,5,6
