County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Acadia Parish, LA",21-22,1,22,1375,1500.0,-8.333333333333337,-125.0,883.0,16.55629139072848,730.0,31.031220435193944,1240.0,10.88709677419355,135.0,159.0,85.31598513011153,311.0,71.18959107806691,1975.0,-30.379746835443033,-600.0,927.0,16.1231884057971,786.0,28.894927536231883
"Ada County, ID",21-22,1,16,2569,1863.0,37.89586688137412,706.0,56.0,94.79659413434248,141.0,86.75496688741721,1855.0,38.49056603773584,714.0,34.0,96.93308550185874,131.0,87.9182156133829,1729.0,48.582995951417,840.0,8.0,99.36594202898551,83.0,92.57246376811594
"Adair County, MO",21-22,1,29,72,80.0,-9.999999999999998,-8.0,627.0,40.77578051087985,764.0,27.81456953642384,68.0,5.882352941176472,4.0,422.0,60.87360594795539,374.0,65.33457249070632,67.0,7.462686567164178,5.0,310.0,72.01086956521739,270.0,75.63405797101449
"Adams County, CO",21-22,1,8,626,419.0,49.40334128878281,207.0,158.0,85.14664143803216,113.0,89.40397350993378,298.0,110.06711409395974,328.0,80.0,92.65799256505576,37.0,96.6542750929368,484.0,29.338842975206614,142.0,85.0,92.3913043478261,140.0,87.40942028985508
"Adams County, IL",21-22,1,17,813,817.0,-0.4895960832313362,-4.0,597.0,43.614001892147584,580.0,45.22232734153264,1299.0,-37.413394919168596,-486.0,952.0,11.617100371747211,960.0,10.87360594795539,728.0,11.675824175824179,85.0,115.0,89.67391304347827,220.0,80.16304347826086
"Adams County, NE",21-22,1,31,482,727.0,-33.70013755158185,-245.0,937.0,11.447492904446547,978.0,7.5685903500473035,473.0,1.9027484143763207,9.0,391.0,63.7546468401487,425.0,60.594795539033456,477.0,1.048218029350112,5.0,310.0,72.01086956521739,327.0,70.47101449275362
"Adams County, PA",21-22,1,42,699,720.0,-2.9166666666666674,-21.0,717.0,32.26111636707663,632.0,40.30274361400189,1218.0,-42.610837438423644,-519.0,959.0,10.966542750929369,998.0,7.342007434944238,1342.0,-47.91356184798807,-643.0,944.0,14.583333333333334,973.0,11.956521739130435
"Aiken County, SC",21-22,3,45,376,212.0,77.35849056603774,164.0,181.0,82.97067171239357,63.0,94.13434247871334,204.0,84.31372549019606,172.0,134.0,87.63940520446096,58.0,94.70260223048327,349.0,7.73638968481376,27.0,220.0,80.16304347826086,268.0,75.81521739130434
"Alachua County, FL",21-22,1,12,668,1104.0,-39.492753623188406,-436.0,984.0,7.000946073793755,1004.0,5.10879848628193,1068.0,-37.453183520599254,-400.0,934.0,13.289962825278812,961.0,10.780669144981413,930.0,-28.172043010752688,-262.0,815.0,26.268115942028984,763.0,30.978260869565215
"Alamance County, NC",21-22,1,37,203,219.0,-7.30593607305936,-16.0,692.0,34.62630085146641,713.0,32.63954588457899,222.0,-8.558558558558559,-19.0,610.0,43.40148698884758,633.0,41.2639405204461,176.0,15.340909090909083,27.0,220.0,80.16304347826086,206.0,81.43115942028986
"Alameda County, CA",21-22,1,6,7132,7535.0,-5.348374253483746,-403.0,977.0,7.663197729422895,675.0,36.23462630085147,8101.0,-11.961486236267127,-969.0,1005.0,6.691449814126393,692.0,35.78066914498142,9273.0,-23.088536611668285,-2141.0,1042.0,5.706521739130435,680.0,38.4963768115942
"Albany County, NY",21-22,1,36,1286,1919.0,-32.98593017196456,-633.0,1010.0,4.541154210028382,974.0,7.9470198675496695,2584.0,-50.232198142414866,-1298.0,1029.0,4.4609665427509295,1023.0,5.018587360594796,2472.0,-47.97734627831716,-1186.0,1000.0,9.510869565217392,974.0,11.865942028985508
"Albemarle County, VA",21-22,3,51,336,319.0,5.3291536050156685,17.0,403.0,61.9678334910123,447.0,57.80510879848628,312.0,7.692307692307687,24.0,311.0,71.18959107806691,350.0,67.56505576208178,349.0,-3.7249283667621813,-13.0,409.0,63.04347826086957,389.0,64.85507246376811
