Diocese,School Year,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Albany, NY",21-22,3956,4164,-4.995196926032664,-208,123.0,30.28571428571429,130.0,26.285714285714285,5298,-25.330313325783315,-1342,127.0,28.000000000000004,155.0,12.0,6478,-38.93176906452609,-2522,118.0,33.14285714285714,145.0,17.71428571428571
"Alexandria, LA",21-22,1963,2275,-13.714285714285712,-312,132.0,25.142857142857146,150.0,14.857142857142858,2635,-25.502846299810244,-672,114.0,35.42857142857142,157.0,10.857142857142858,2522,-22.164948453608247,-559,57.0,68.0,98.0,44.57142857142857
"Allentown, PA",21-22,7098,10267,-30.865880977890324,-3169,175.0,0.5714285714285714,170.0,3.428571428571429,10254,-30.778232884727906,-3156,161.0,8.571428571428571,165.0,6.2857142857142865,11120,-36.16906474820144,-4022,141.0,20.0,139.0,21.142857142857142
"Altoona-Johnstown, PA",21-22,3104,2094,48.23304680038205,1010,33.0,81.71428571428572,7.0,96.57142857142857,3403,-8.78636497208346,-299,91.0,48.57142857142857,102.0,42.285714285714285,4271,-27.323811753687664,-1167,82.0,53.714285714285715,118.0,33.14285714285714
"Amarillo, TX",21-22,535,795,-32.704402515723274,-260,127.0,28.000000000000004,171.0,2.857142857142857,864,-38.07870370370371,-329,93.0,47.42857142857143,170.0,3.428571428571429,670,-20.149253731343286,-135,37.0,79.42857142857143,87.0,50.857142857142854
"Anchorage, AK",21-22,451,435,3.67816091954023,16,107.0,39.42857142857143,95.0,46.285714285714285,517,-12.765957446808507,-66,76.0,57.14285714285714,110.0,37.714285714285715,481,-6.237006237006238,-30,33.0,81.71428571428572,38.0,78.85714285714286
"Arlington, VA",21-22,16889,13786,22.508341796024943,3103,3.0,98.85714285714286,28.0,84.57142857142857,14539,16.1634225187427,2350,4.0,98.28571428571429,23.0,87.42857142857143,16283,3.7216729103973556,606,12.0,93.71428571428572,25.0,86.28571428571429
"Atlanta, GA",21-22,9437,9768,-3.388615888615887,-331,135.0,23.42857142857143,124.0,29.714285714285715,11727,-19.527585912850686,-2290,147.0,16.57142857142857,135.0,23.42857142857143,11853,-20.38302539441491,-2416,117.0,33.714285714285715,89.0,49.714285714285715
"Austin, TX",21-22,5523,4999,10.48209641928386,524,60.0,66.28571428571428,61.0,65.71428571428571,5633,-1.952778270903599,-110,80.0,54.85714285714286,79.0,55.42857142857143,5150,7.242718446601937,373,16.0,91.42857142857143,21.0,88.57142857142857
"Baker, OR",21-22,554,531,4.331450094161959,23,106.0,40.0,89.0,49.714285714285715,259,113.89961389961391,295,39.0,78.28571428571428,1.0,100.0,232,138.79310344827584,322,17.0,90.85714285714286,2.0,99.42857142857143
"Baltimore, MD",21-22,24774,23562,5.143875732111036,1212,27.0,85.14285714285714,83.0,53.142857142857146,25163,-1.5459205977029766,-389,97.0,45.14285714285714,77.0,56.57142857142857,27543,-10.053371092473585,-2769,124.0,29.714285714285715,52.0,70.85714285714285
"Baton Rouge, LA",21-22,10383,8990,15.494994438264742,1393,21.0,88.57142857142857,45.0,74.85714285714286,13498,-23.07749296192029,-3115,160.0,9.142857142857142,141.0,20.0,12521,-17.07531347336475,-2138,110.0,37.714285714285715,75.0,57.714285714285715
"Beaumont, TX",21-22,1123,1383,-18.7997107736804,-260,127.0,28.000000000000004,161.0,8.571428571428571,1467,-23.4492160872529,-344,94.0,46.85714285714286,145.0,17.71428571428571,1426,-21.248246844319773,-303,47.0,73.71428571428571,93.0,47.42857142857143
"Belleville, IL",21-22,5175,4797,7.879924953095685,378,69.0,61.142857142857146,73.0,58.857142857142854,4939,4.778295201457783,236,46.0,74.28571428571429,52.0,70.85714285714285,5790,-10.621761658031092,-615,62.0,65.14285714285715,57.0,68.0
"Biloxi, MS",21-22,4331,4063,6.596111247846426,268,85.0,52.0,78.0,56.00000000000001,3494,23.955352032054943,837,17.0,90.85714285714286,17.0,90.85714285714286,4056,6.780078895463504,275,19.0,89.71428571428571,23.0,87.42857142857143
"Birmingham, AL",21-22,4290,4221,1.6346837242359635,69,99.0,44.0,105.0,40.57142857142857,5112,-16.079812206572775,-822,118.0,33.14285714285714,121.0,31.428571428571427,5768,-25.624133148404994,-1478,95.0,46.285714285714285,113.0,36.0
"Bismarck, ND",21-22,4762,2774,71.66546503244413,1988,12.0,93.71428571428572,5.0,97.71428571428571,2769,71.97544239797762,1993,5.0,97.71428571428571,2.0,99.42857142857143,2789,70.7422015059161,1973,2.0,99.42857142857143,3.0,98.85714285714286
"Boise, ID",21-22,4138,3764,9.936238044633372,374,72.0,59.42857142857143,64.0,64.0,3493,18.465502433438296,645,19.0,89.71428571428571,19.0,89.71428571428571,3137,31.909467644246092,1001,5.0,97.71428571428571,10.0,94.85714285714286
"Boston, MA",21-22,26109,26810,-2.614696008951889,-701,151.0,14.285714285714285,119.0,32.57142857142858,30505,-14.410752335682675,-4396,167.0,5.142857142857142,115.0,34.85714285714286,40908,-36.17629803461425,-14799,169.0,4.0,140.0,20.57142857142857
"Bridgeport, CT",21-22,7394,6622,11.658109332527932,772,45.0,74.85714285714286,56.0,68.57142857142857,7550,-2.0662251655629182,-156,83.0,53.142857142857146,80.0,54.85714285714286,11038,-33.013227033882956,-3644,136.0,22.857142857142858,132.0,25.142857142857146
"Brooklyn, NY",21-22,25778,24965,3.256559182855989,813,44.0,75.42857142857143,98.0,44.57142857142857,32013,-19.47646268703339,-6235,171.0,2.857142857142857,134.0,24.0,41152,-37.35905909797823,-15374,171.0,2.857142857142857,142.0,19.428571428571427
"Brownsville, TX",21-22,1365,2085,-34.53237410071942,-720,152.0,13.714285714285715,173.0,1.7142857142857144,2411,-43.3844877644131,-1046,123.0,30.28571428571429,173.0,1.7142857142857144,4211,-67.58489669912136,-2846,126.0,28.57142857142857,175.0,0.5714285714285714
"Buffalo, NY",21-22,8198,5710,43.572679509632216,2488,6.0,97.14285714285714,8.0,96.0,10725,-23.56177156177156,-2527,150.0,14.857142857142858,146.0,17.142857142857142,15293,-46.393774929706396,-7095,161.0,8.571428571428571,162.0,8.0
"Burlington, VT",21-22,1460,1795,-18.66295264623955,-335,136.0,22.857142857142858,160.0,9.142857142857142,1865,-21.715817694369978,-405,100.0,43.42857142857143,138.0,21.714285714285715,2043,-28.536465981399907,-583,60.0,66.28571428571428,120.0,32.0
"Camden, NJ",21-22,8921,8614,3.563965637334565,307,81.0,54.285714285714285,96.0,45.714285714285715,10841,-17.71054330781293,-1920,139.0,21.142857142857142,127.0,28.000000000000004,15774,-43.44490934449093,-6853,159.0,9.714285714285714,157.0,10.857142857142858
"Charleston, SC",21-22,5666,5424,4.46165191740413,242,86.0,51.42857142857142,87.0,50.857142857142854,6189,-8.450476652124738,-523,103.0,41.714285714285715,96.0,45.714285714285715,6283,-9.820149610058893,-617,63.0,64.57142857142857,51.0,71.42857142857143
