State,School Year,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
AK,21-22,1137,807,40.89219330855018,330,30.0,43.13725490196079,1.0,100.0,1017,11.799410029498535,120,14.0,74.50980392156863,10.0,82.35294117647058,1064,6.86090225563909,73,5.0,92.15686274509804,3.0,96.07843137254902
AL,21-22,9174,8834,3.84876613085805,340,29.0,45.09803921568628,26.0,50.98039215686274,10628,-13.680843056078285,-1454,30.0,43.13725490196079,36.0,31.372549019607842,11953,-23.249393457709367,-2779,25.0,52.94117647058824,30.0,43.13725490196079
AR,21-22,6285,5297,18.652067207853506,988,19.0,64.70588235294117,10.0,82.35294117647058,6044,3.987425545996026,241,13.0,76.47058823529412,14.0,74.50980392156863,7015,-10.406272273699212,-730,13.0,76.47058823529412,15.0,72.54901960784314
AZ,21-22,20261,16629,21.84136147693787,3632,7.0,88.23529411764706,8.0,86.27450980392157,18831,7.593861186341666,1430,5.0,92.15686274509804,12.0,78.43137254901961,20446,-0.9048224591607146,-185,8.0,86.27450980392157,8.0,86.27450980392157
CA,21-22,162607,157646,3.1469241211321552,4961,3.0,96.07843137254902,27.0,49.01960784313725,185995,-12.574531573429393,-23388,50.0,3.9215686274509802,34.0,35.294117647058826,207317,-21.5660076115321,-44710,49.0,5.88235294117647,28.0,47.05882352941176
CO,21-22,14294,14006,2.056261602170495,288,31.0,41.17647058823529,31.0,41.17647058823529,13305,7.433295753476132,989,9.0,84.31372549019608,13.0,76.47058823529412,17151,-16.657920820943385,-2857,26.0,50.98039215686274,21.0,60.78431372549019
CT,21-22,18929,18136,4.372518747243048,793,23.0,56.86274509803921,25.0,52.94117647058824,20597,-8.098266737874448,-1668,33.0,37.254901960784316,27.0,49.01960784313725,31309,-39.54134593886742,-12380,41.0,21.568627450980394,46.0,11.76470588235294
DC,21-22,6125,5029,21.793597136607666,1096,16.0,70.58823529411765,9.0,84.31372549019608,4778,28.19171201339472,1347,7.0,88.23529411764706,3.0,96.07843137254902,6166,-0.6649367499189096,-41,7.0,88.23529411764706,7.0,88.23529411764706
DE,21-22,5266,5162,2.0147229755908658,104,34.0,35.294117647058826,32.0,39.21568627450981,6127,-14.052554267994122,-861,26.0,50.98039215686274,38.0,27.450980392156865,9554,-44.88172493196567,-4288,31.0,41.17647058823529,49.0,5.88235294117647
FL,21-22,75992,74973,1.3591559628132854,1019,18.0,66.66666666666666,33.0,37.254901960784316,78202,-2.8260146799314545,-2210,35.0,33.33333333333333,22.0,58.82352941176471,80299,-5.363703159441591,-4307,32.0,39.21568627450981,10.0,82.35294117647058
GA,21-22,14261,13365,6.704077815188936,896,21.0,60.78431372549019,20.0,62.745098039215684,15542,-8.242182473298165,-1281,28.0,47.05882352941176,28.0,47.05882352941176,16358,-12.819415576476345,-2097,20.0,62.745098039215684,17.0,68.62745098039215
HI,21-22,6368,6567,-3.0303030303030276,-199,37.0,29.411764705882355,42.0,19.607843137254903,7774,-18.085927450475946,-1406,29.0,45.09803921568628,42.0,19.607843137254903,8633,-26.23653422912081,-2265,21.0,60.78431372549019,34.0,35.294117647058826
IA,21-22,27047,25668,5.372448184509904,1379,14.0,74.50980392156863,21.0,60.78431372549019,28277,-4.349824946069248,-1230,27.0,49.01960784313725,24.0,54.90196078431373,29094,-7.035814944662134,-2047,19.0,64.70588235294117,11.0,80.3921568627451
ID,21-22,4138,3764,9.936238044633372,374,27.0,49.01960784313725,17.0,68.62745098039215,3493,18.465502433438296,645,11.0,80.3921568627451,7.0,88.23529411764706,3137,31.909467644246092,1001,2.0,98.0392156862745,2.0,98.0392156862745
IL,21-22,93456,92610,0.9135082604470268,846,22.0,58.82352941176471,34.0,35.294117647058826,112839,-17.17757158429266,-19383,49.0,5.88235294117647,41.0,21.568627450980394,146078,-36.02322047125508,-52622,50.0,3.9215686274509802,43.0,17.647058823529413
IN,21-22,47584,45399,4.812881340998709,2185,11.0,80.3921568627451,23.0,56.86274509803921,50910,-6.533097623256722,-3326,39.0,25.49019607843137,26.0,50.98039215686274,54739,-13.071119311642521,-7155,37.0,29.411764705882355,18.0,66.66666666666666
KS,21-22,20539,23017,-10.765955598036236,-2478,49.0,5.88235294117647,46.0,11.76470588235294,23879,-13.98718539302316,-3340,40.0,23.52941176470588,37.0,29.411764705882355,27853,-26.25928984310487,-7314,38.0,27.450980392156865,35.0,33.33333333333333
KY,21-22,30105,30072,0.10973663208300177,33,36.0,31.372549019607842,36.0,31.372549019607842,33598,-10.396452169772008,-3493,41.0,21.568627450980394,33.0,37.254901960784316,37169,-19.005084882563427,-7064,36.0,31.372549019607842,25.0,52.94117647058824
LA,21-22,52550,53423,-1.6341276229339452,-873,45.0,13.725490196078432,38.0,27.450980392156865,64359,-18.348638108112304,-11809,47.0,9.803921568627452,43.0,17.647058823529413,72573,-27.59015060697505,-20023,43.0,17.647058823529413,37.0,29.411764705882355
MA,21-22,38211,39261,-2.6744097195690375,-1050,46.0,11.76470588235294,39.0,25.49019607843137,43926,-13.010517688840316,-5715,43.0,17.647058823529413,35.0,33.33333333333333,59434,-35.70851701046539,-21223,45.0,13.725490196078432,41.0,21.568627450980394
MD,21-22,44282,43201,2.50225689220156,1081,17.0,68.62745098039215,29.0,45.09803921568628,45120,-1.8572695035460995,-838,25.0,52.94117647058824,20.0,62.745098039215684,49267,-10.118334787991968,-4985,33.0,37.254901960784316,14.0,74.50980392156863
ME,21-22,2363,2013,17.386984600099353,350,28.0,47.05882352941176,12.0,78.43137254901961,2279,3.685827117156637,84,16.0,70.58823529411765,15.0,72.54901960784314,3160,-25.221518987341774,-797,14.0,74.50980392156863,31.0,41.17647058823529
MI,21-22,43463,38904,11.718589348139009,4559,5.0,92.15686274509804,15.0,72.54901960784314,48267,-9.952969938052913,-4804,42.0,19.607843137254903,31.0,41.17647058823529,55229,-21.30402505929856,-11766,40.0,23.52941176470588,27.0,49.01960784313725
MN,21-22,37831,30579,23.715621831976197,7252,2.0,98.0392156862745,6.0,90.19607843137256,37845,-0.036992997753992896,-14,18.0,66.66666666666666,18.0,66.66666666666666,46220,-18.150151449588925,-8389,39.0,25.49019607843137,24.0,54.90196078431373
MO,21-22,49535,45716,8.353749234403708,3819,6.0,90.19607843137256,18.0,66.66666666666666,51171,-3.1971233706591606,-1636,32.0,39.21568627450981,23.0,56.86274509803921,63962,-22.555579875551114,-14427,42.0,19.607843137254903,29.0,45.09803921568628
MS,21-22,6810,7017,-2.949978623343308,-207,38.0,27.450980392156865,41.0,21.568627450980394,6825,-0.219780219780219,-15,19.0,64.70588235294117,19.0,64.70588235294117,8261,-17.564459508534082,-1451,18.0,66.66666666666666,23.0,56.86274509803921
MT,21-22,3254,2357,38.05685193042003,897,20.0,62.745098039215684,2.0,98.0392156862745,2463,32.115306536743816,791,10.0,82.35294117647058,2.0,98.0392156862745,3755,-13.342210386151798,-501,10.0,82.35294117647058,19.0,64.70588235294117
NC,21-22,14752,11429,29.075159681511952,3323,8.0,86.27450980392157,5.0,92.15686274509804,11906,23.903913992944737,2846,3.0,96.07843137254902,5.0,92.15686274509804,16091,-8.321421912870552,-1339,16.0,70.58823529411765,12.0,78.43137254901961
ND,21-22,7411,5582,32.76603367968469,1829,12.0,78.43137254901961,3.0,96.07843137254902,4342,70.68171349608477,3069,2.0,98.0392156862745,1.0,100.0,4583,61.70630591315731,2828,1.0,100.0,1.0,100.0
NE,21-22,23565,23072,2.136789181692089,493,26.0,50.98039215686274,30.0,43.13725490196079,26187,-10.01260167258563,-2622,38.0,27.450980392156865,32.0,39.21568627450981,28578,-17.541465462943528,-5013,34.0,35.294117647058826,22.0,58.82352941176471
NH,21-22,4448,5021,-11.412069308902606,-573,43.0,17.647058823529413,47.0,9.803921568627452,5953,-25.28137073744331,-1505,31.0,41.17647058823529,49.0,5.88235294117647,7355,-39.52413324269205,-2907,27.0,49.01960784313725,45.0,13.725490196078432
NJ,21-22,47491,51454,-7.70202510980682,-3963,50.0,3.9215686274509802,44.0,15.686274509803921,60715,-21.780449641768918,-13224,48.0,7.8431372549019605,47.0,9.803921568627452,87886,-45.96295200600778,-40395,48.0,7.8431372549019605,50.0,3.9215686274509802
NM,21-22,4490,3826,17.35493988499739,664,24.0,54.90196078431373,13.0,76.47058823529412,3870,16.020671834625322,620,12.0,78.43137254901961,8.0,86.27450980392157,6820,-34.16422287390029,-2330,23.0,56.86274509803921,40.0,23.52941176470588
NV,21-22,5855,5268,11.142748671222469,587,25.0,52.94117647058824,16.0,70.58823529411765,4810,21.725571725571726,1045,8.0,86.27450980392157,6.0,90.19607843137256,5788,1.1575673807878273,67,6.0,90.19607843137256,6.0,90.19607843137256
NY,21-22,102638,103164,-0.5098677833352716,-526,42.0,19.607843137254903,37.0,29.411764705882355,127395,-19.433258762117823,-24757,51.0,1.9607843137254901,44.0,15.686274509803921,174030,-41.0228121588232,-71392,51.0,1.9607843137254901,47.0,9.803921568627452
OH,21-22,104185,96871,7.550247236014895,7314,1.0,100.0,19.0,64.70588235294117,110424,-5.650039846410204,-6239,44.0,15.686274509803921,25.0,52.94117647058824,131022,-20.482819679137855,-26837,46.0,11.76470588235294,26.0,50.98039215686274
OK,21-22,5941,7672,-22.562565172054228,-1731,48.0,7.8431372549019605,50.0,3.9215686274509802,8373,-29.04574226680998,-2432,36.0,31.372549019607842,50.0,3.9215686274509802,9820,-39.501018329938894,-3879,30.0,43.13725490196079,44.0,15.686274509803921
OR,21-22,12268,12174,0.7721373418761335,94,35.0,33.33333333333333,35.0,33.33333333333333,12583,-2.5033775729158436,-315,21.0,60.78431372549019,21.0,60.78431372549019,14571,-15.805366824514444,-2303,22.0,58.82352941176471,20.0,62.745098039215684
PA,21-22,86142,93543,-7.911869407652095,-7401,51.0,1.9607843137254901,45.0,13.725490196078432,94102,-8.458906293171243,-7960,45.0,13.725490196078432,30.0,43.13725490196079,126058,-31.664789224007993,-39916,47.0,9.803921568627452,39.0,25.49019607843137
RI,21-22,9058,7700,17.636363636363626,1358,15.0,72.54901960784314,11.0,80.3921568627451,8957,1.1276096907446798,101,15.0,72.54901960784314,16.0,70.58823529411765,14112,-35.813492063492056,-5054,35.0,33.33333333333333,42.0,19.607843137254903
SC,21-22,5666,5424,4.46165191740413,242,33.0,37.254901960784316,24.0,54.90196078431373,6189,-8.450476652124738,-523,23.0,56.86274509803921,29.0,45.09803921568628,6283,-9.820149610058893,-617,12.0,78.43137254901961,13.0,76.47058823529412
SD,21-22,7068,5417,30.47812442311242,1651,13.0,76.47058823529412,4.0,94.11764705882352,5673,24.590163934426236,1395,6.0,90.19607843137256,4.0,94.11764705882352,6725,5.100371747211896,343,4.0,94.11764705882352,4.0,94.11764705882352
TN,21-22,10073,9821,2.565930149679252,252,32.0,39.21568627450981,28.0,47.05882352941176,12511,-19.48685157061786,-2438,37.0,29.411764705882355,45.0,13.725490196078432,13501,-25.390711799125988,-3428,29.0,45.09803921568628,33.0,37.254901960784316
TX,21-22,55588,57203,-2.8232784993794002,-1615,47.0,9.803921568627452,40.0,23.52941176470588,66417,-16.304560579369742,-10829,46.0,11.76470588235294,39.0,25.49019607843137,75716,-26.58354905171958,-20128,44.0,15.686274509803921,36.0,31.372549019607842
UT,21-22,3194,4000,-20.150000000000002,-806,44.0,15.686274509803921,49.0,5.88235294117647,5102,-37.39709917679341,-1908,34.0,35.294117647058826,51.0,1.9607843137254901,5578,-42.739333094299035,-2384,24.0,54.90196078431373,48.0,7.8431372549019605
VA,21-22,26091,21170,23.245158242796403,4921,4.0,94.11764705882352,7.0,88.23529411764706,23288,12.036241841291663,2803,4.0,94.11764705882352,9.0,84.31372549019608,25531,2.193411930594169,560,3.0,96.07843137254902,5.0,92.15686274509804
VT,21-22,1460,1795,-18.66295264623955,-335,40.0,23.52941176470588,48.0,7.8431372549019605,1865,-21.715817694369978,-405,22.0,58.82352941176471,46.0,11.76470588235294,2043,-28.536465981399907,-583,11.0,80.3921568627451,38.0,27.450980392156865
WA,21-22,22927,19940,14.979939819458377,2987,9.0,84.31372549019608,14.0,74.50980392156863,22847,0.35015538145051206,80,17.0,68.62745098039215,17.0,68.62745098039215,25880,-11.410355486862445,-2953,28.0,47.05882352941176,16.0,70.58823529411765
WI,21-22,58459,55569,5.200741420576227,2890,10.0,82.35294117647058,22.0,58.82352941176471,53603,9.059194448071928,4856,1.0,100.0,11.0,80.3921568627451,59780,-2.209769153563068,-1321,15.0,72.54901960784314,9.0,84.31372549019608
WV,21-22,4115,4394,-6.349567592171146,-279,39.0,25.49019607843137,43.0,17.647058823529413,4935,-16.616008105369808,-820,24.0,54.90196078431373,40.0,23.52941176470588,5514,-25.371780921291254,-1399,17.0,68.62745098039215,32.0,39.21568627450981
WY,21-22,513,935,-45.13368983957219,-422,41.0,21.568627450980394,51.0,1.9607843137254901,678,-24.336283185840713,-165,20.0,62.745098039215684,48.0,7.8431372549019605,990,-48.18181818181818,-477,9.0,84.31372549019608,51.0,1.9607843137254901
