code,Diocese,code_as_int
0101,"Birmingham, AL",101
0102,"Mobile, AL",102
0201,"Anchorage, AK",201
0202,"Fairbanks, AK",202
0203,"Juneau, AK",203
0401,"Phoenix, AZ",401
0402,"Tucson, AZ",402
0501,"Little Rock, AR",501
0601,"Los Angeles, CA",601
0602,"San Francisco, CA",602
0603,"Fresno, CA",603
0604,"Monterey, CA",604
0605,"Oakland, CA",605
0606,"Orange, CA",606
0607,"Sacramento, CA",607
0608,"San Bernardino, CA",608
0609,"San Diego, CA",609
0610,"San Jose, CA",610
0611,"Santa Rosa, CA",611
0612,"Stockton, CA",612
0801,"Denver, CO",801
0802,"Colorado Springs, CO",802
0803,"Pueblo, CO",803
0901,"Hartford, CT",901
0902,"Bridgeport, CT",902
0903,"Norwich, CT",903
1001,"Wilmington, DE",1001
1101,"Washington, DC",1101
1201,"Miami, FL",1201
1202,"Pensacola-Tallahassee, FL",1202
1203,"Orlando, FL",1203
1204,"Palm Beach, FL",1204
1205,"St. Augustine, FL",1205
1206,"St. Petersburg, FL",1206
1207,"Venice, FL",1207
1301,"Atlanta, GA",1301
1302,"Savannah, GA",1302
1501,"Honolulu, HI",1501
1601,"Boise, ID",1601
1701,"Chicago, IL",1701
1702,"Belleville, IL",1702
1703,"Joliet, IL",1703
1704,"Peoria, IL",1704
1705,"Rockford, IL",1705
1706,"Springfield, IL",1706
1801,"Indianapolis, IN",1801
1802,"Evansville, IN",1802
1803,"Ft. Wayne-South Bend, IN",1803
1804,"Gary, IN",1804
1805,"Lafayette, IN",1805
1901,"Dubuque, IA",1901
1902,"Davenport, IA",1902
1903,"Des Moines, IA",1903
1904,"Sioux City, IA",1904
2001,"Kansas City, KS",2001
2002,"Dodge City, KS",2002
2003,"Salina, KS",2003
2004,"Wichita, KS",2004
2101,"Louisville, KY",2101
2102,"Covington, KY",2102
2103,"Lexington, KY",2103
2104,"Owensboro, KY",2104
2201,"New Orleans, LA",2201
2202,"Alexandria, LA",2202
2203,"Baton Rouge, LA",2203
2204,"Houma-Thibodaux, LA",2204
2205,"Lafayette, LA",2205
2206,"Lake Charles, LA",2206
2207,"Shreveport, LA",2207
2301,"Portland, ME",2301
2401,"Baltimore, MD",2401
2501,"Boston, MA",2501
2502,"Fall River, MA",2502
2503,"Springfield, MA",2503
2504,"Worcester, MA",2504
2601,"Detroit, MI",2601
2602,"Grand Rapids, MI",2602
2603,"Gaylord, MI",2603
2604,"Kalamazoo, MI",2604
2605,"Lansing, MI",2605
2606,"Marquette, MI",2606
2607,"Saginaw, MI",2607
2701,"St. Paul-Minneapolis, MN",2701
2702,"Crookston, MN",2702
2703,"Duluth, MN",2703
2704,"New Ulm, MN",2704
2705,"St. Cloud, MN",2705
2706,"Winona, MN",2706
2801,"Biloxi, MS",2801
2802,"Jackson, MS",2802
2901,"St. Louis, MO",2901
2902,"Jefferson City, MO",2902
2903,"Kansas City-St. Joseph, MO",2903
2904,"Springfield-Cape Girardeau, MO",2904
3001,"Great Falls-Billings, MT",3001
3002,"Helena, MT",3002
3101,"Omaha, NE",3101
3102,"Grand Island, NE",3102
3103,"Lincoln, NE",3103
3201,"Las Vegas, NV",3201
3202,"Reno, NV",3202
