0101 Diocese of Birmingham, AL
0102 Diocese of Mobile, AL
0201 Archdiocese of Anchorage, AK
0202 Diocese of Fairbanks, AK
0203 Diocese of Juneau, AK
0401 Diocese of Phoenix, AZ
0402 Diocese of Tucson, AZ
0501 Diocese of Little Rock, AR
0601 Archdiocese of Los Angeles, CA
0602 Archdiocese of San Francisco, CA
0603 Diocese of Fresno, CA
0604 Diocese of Monterey, CA
0605 Diocese of Oakland, CA
0606 Diocese of Orange, CA
0607 Diocese of Sacramento, CA
0608 Diocese of San Bernardino, CA
0609 Diocese of San Diego, CA
0610 Diocese of San Jose, CA
0611 Diocese of Santa Rosa, CA
0612 Diocese of Stockton, CA
0801 Archdiocese of Denver, CO
0802 Diocese of Colorado Springs, CO
0803 Diocese of Pueblo, CO
0901 Archdiocese of Hartford, CT
0902 Diocese of Bridgeport, CT
0903 Diocese of Norwich, CT
1001 Diocese of Wilmington, DE
1101 Archdiocese of Washington, DC
1201 Archdiocese of Miami, FL
1202 Diocese of Pensacola-Tallahassee, FL
1203 Diocese of Orlando, FL 
1204 Diocese of Palm Beach, FL
1205 Diocese of St. Augustine, FL 
1206 Diocese of St. Petersburg, FL
1207 Diocese of Venice, FL 
1301 Archdiocese of Atlanta, GA
1302 Diocese of Savannah, GA
1501 Diocese of Honolulu, HI
1601 Diocese of Boise, ID
1701 Archdiocese of Chicago, IL
1702 Diocese of Belleville, IL
1703 Diocese of Joliet, IL
1704 Diocese of Peoria, IL
1705 Diocese of Rockford, IL
1706 Diocese of Springfield, IL
1801 Archdiocese of Indianapolis, IN
1802 Diocese of Evansville, IN
1803 Diocese of Ft. Wayne-South Bend, IN
1804 Diocese of Gary, IN
1805 Diocese of Lafayette, IN
1901 Archdiocese of Dubuque, IA
1902 Diocese of Davenport, IA
1903 Diocese of Des Moines, IA
1904 Diocese of Sioux City, IA
2001 Archdiocese of Kansas City, KS
2002 Diocese of Dodge City, KS
2003 Diocese of Salina, KS
