STATE,STATEFP,COUNTYFP,COUNTYNS,COUNTYNAME,CLASSFP,FUNCSTAT,County & State
AL,1,1,161526,Autauga County,H1,A,"Autauga County, AL"
AL,1,3,161527,Baldwin County,H1,A,"Baldwin County, AL"
AL,1,5,161528,Barbour County,H1,A,"Barbour County, AL"
AL,1,7,161529,Bibb County,H1,A,"Bibb County, AL"
AL,1,9,161530,Blount County,H1,A,"Blount County, AL"
AL,1,11,161531,Bullock County,H1,A,"Bullock County, AL"
AL,1,13,161532,Butler County,H1,A,"Butler County, AL"
AL,1,15,161533,Calhoun County,H1,A,"Calhoun County, AL"
AL,1,17,161534,Chambers County,H1,A,"Chambers County, AL"
AL,1,19,161535,Cherokee County,H1,A,"Cherokee County, AL"
AL,1,21,161536,Chilton County,H1,A,"Chilton County, AL"
AL,1,23,161537,Choctaw County,H1,A,"Choctaw County, AL"
AL,1,25,161538,Clarke County,H1,A,"Clarke County, AL"
AL,1,27,161539,Clay County,H1,A,"Clay County, AL"
AL,1,29,161540,Cleburne County,H1,A,"Cleburne County, AL"
AL,1,31,161541,Coffee County,H1,A,"Coffee County, AL"
AL,1,33,161542,Colbert County,H1,A,"Colbert County, AL"
AL,1,35,161543,Conecuh County,H1,A,"Conecuh County, AL"
AL,1,37,161544,Coosa County,H1,A,"Coosa County, AL"
AL,1,39,161545,Covington County,H1,A,"Covington County, AL"
AL,1,41,161546,Crenshaw County,H1,A,"Crenshaw County, AL"
AL,1,43,161547,Cullman County,H1,A,"Cullman County, AL"
AL,1,45,161548,Dale County,H1,A,"Dale County, AL"
AL,1,47,161549,Dallas County,H1,A,"Dallas County, AL"
AL,1,49,161550,DeKalb County,H1,A,"Dekalb County, AL"
AL,1,51,161551,Elmore County,H1,A,"Elmore County, AL"
AL,1,53,161552,Escambia County,H1,A,"Escambia County, AL"
AL,1,55,161553,Etowah County,H1,A,"Etowah County, AL"
AL,1,57,161554,Fayette County,H1,A,"Fayette County, AL"
AL,1,59,161555,Franklin County,H1,A,"Franklin County, AL"
AL,1,61,161556,Geneva County,H1,A,"Geneva County, AL"
AL,1,63,161557,Greene County,H1,A,"Greene County, AL"
AL,1,65,161558,Hale County,H1,A,"Hale County, AL"
AL,1,67,161559,Henry County,H1,A,"Henry County, AL"
AL,1,69,161560,Houston County,H1,A,"Houston County, AL"
AL,1,71,161561,Jackson County,H1,A,"Jackson County, AL"
AL,1,73,161562,Jefferson County,H1,A,"Jefferson County, AL"
AL,1,75,161563,Lamar County,H1,A,"Lamar County, AL"
AL,1,77,161564,Lauderdale County,H1,A,"Lauderdale County, AL"
AL,1,79,161565,Lawrence County,H1,A,"Lawrence County, AL"
AL,1,81,161566,Lee County,H1,A,"Lee County, AL"
AL,1,83,161567,Limestone County,H1,A,"Limestone County, AL"
AL,1,85,161568,Lowndes County,H1,A,"Lowndes County, AL"
AL,1,87,161569,Macon County,H1,A,"Macon County, AL"
AL,1,89,161570,Madison County,H1,A,"Madison County, AL"
AL,1,91,161572,Marengo County,H1,A,"Marengo County, AL"
AL,1,93,161573,Marion County,H1,A,"Marion County, AL"
AL,1,95,161574,Marshall County,H1,A,"Marshall County, AL"
AL,1,97,161575,Mobile County,H1,A,"Mobile County, AL"
AL,1,99,161576,Monroe County,H1,A,"Monroe County, AL"
AL,1,101,161577,Montgomery County,H1,A,"Montgomery County, AL"
AL,1,103,161578,Morgan County,H1,A,"Morgan County, AL"
AL,1,105,161579,Perry County,H1,A,"Perry County, AL"
AL,1,107,161580,Pickens County,H1,A,"Pickens County, AL"
AL,1,109,161581,Pike County,H1,A,"Pike County, AL"
AL,1,111,161582,Randolph County,H1,A,"Randolph County, AL"
AL,1,113,161583,Russell County,H1,A,"Russell County, AL"
AL,1,115,164997,St. Clair County,H1,A,"St. Clair County, AL"
AL,1,117,161584,Shelby County,H1,A,"Shelby County, AL"
AL,1,119,161585,Sumter County,H1,A,"Sumter County, AL"
AL,1,121,161586,Talladega County,H1,A,"Talladega County, AL"
AL,1,123,161587,Tallapoosa County,H1,A,"Tallapoosa County, AL"
AL,1,125,161588,Tuscaloosa County,H1,A,"Tuscaloosa County, AL"
AL,1,127,161589,Walker County,H1,A,"Walker County, AL"
AL,1,129,161590,Washington County,H1,A,"Washington County, AL"
AL,1,131,161591,Wilcox County,H1,A,"Wilcox County, AL"
AL,1,133,161592,Winston County,H1,A,"Winston County, AL"
AK,2,13,1419964,Aleutians East Borough,H1,A,"Aleutians East Borough, AK"
AK,2,16,1419965,Aleutians West Census Area,H5,S,"Aleutians West Census Area, AK"
AK,2,20,1416061,Anchorage Municipality,H6,C,"Anchorage Municipality, AK"
AK,2,50,1419966,Bethel Census Area,H5,S,"Bethel Census Area, AK"
AK,2,60,1419967,Bristol Bay Borough,H1,A,"Bristol Bay Borough, AK"
AK,2,63,2804400,Chugach Census Area,H5,S,"Chugach Census Area, AK"
AK,2,66,2804401,Copper River Census Area,H5,S,"Copper River Census Area, AK"
AK,2,68,1419988,Denali Borough,H1,A,"Denali Borough, AK"
AK,2,70,1419968,Dillingham Census Area,H5,S,"Dillingham Census Area, AK"
AK,2,90,1419969,Fairbanks North Star Borough,H1,A,"Fairbanks North Star Borough, AK"
AK,2,100,1419970,Haines Borough,H1,A,"Haines Borough, AK"
AK,2,105,2371430,Hoonah-Angoon Census Area,H5,S,"Hoonah-Angoon Census Area, AK"
AK,2,110,1419971,Juneau City and Borough,H6,C,"Juneau City And Borough, AK"
AK,2,122,1419972,Kenai Peninsula Borough,H1,A,"Kenai Peninsula Borough, AK"
AK,2,130,1419973,Ketchikan Gateway Borough,H1,A,"Ketchikan Gateway Borough, AK"
AK,2,150,1419974,Kodiak Island Borough,H1,A,"Kodiak Island Borough, AK"
AK,2,158,1419985,Kusilvak Census Area,H5,S,"Kusilvak Census Area, AK"
AK,2,164,1419975,Lake and Peninsula Borough,H1,A,"Lake And Peninsula Borough, AK"
AK,2,170,1419976,Matanuska-Susitna Borough,H1,A,"Matanuska-Susitna Borough, AK"
AK,2,180,1419977,Nome Census Area,H5,S,"Nome Census Area, AK"
AK,2,185,1419978,North Slope Borough,H1,A,"North Slope Borough, AK"
AK,2,188,1419979,Northwest Arctic Borough,H1,A,"Northwest Arctic Borough, AK"
AK,2,195,2516404,Petersburg Borough,H1,A,"Petersburg Borough, AK"
AK,2,198,1419980,Prince of Wales-Hyder Census Area,H5,S,"Prince Of Wales-Hyder Census Area, AK"
AK,2,220,1419981,Sitka City and Borough,H6,C,"Sitka City And Borough, AK"
