State,School Year,Enrollment
AK,11-12,1064
AK,13-14,915
AK,15-16,1308
AK,17-18,1017
AK,19-20,807
AK,21-22,1137
AL,11-12,11953
AL,13-14,11467
AL,15-16,10330
AL,17-18,10628
AL,19-20,8834
AL,21-22,9174
AR,11-12,7015
AR,13-14,6206
AR,15-16,6562
AR,17-18,6044
AR,19-20,5297
AR,21-22,6285
AZ,11-12,20446
AZ,13-14,18187
AZ,15-16,17470
AZ,17-18,18831
AZ,19-20,16629
AZ,21-22,20261
CA,11-12,207317
CA,13-14,184842
CA,15-16,174188
CA,17-18,185995
CA,19-20,157646
CA,21-22,162607
CO,11-12,17151
CO,13-14,14593
CO,15-16,14550
CO,17-18,13305
CO,19-20,14006
CO,21-22,14294
CT,11-12,31309
CT,13-14,27553
CT,15-16,22715
CT,17-18,20597
CT,19-20,18136
CT,21-22,18929
DC,11-12,6166
DC,13-14,5316
DC,15-16,3104
DC,17-18,4778
DC,19-20,5029
DC,21-22,6125
DE,11-12,9554
DE,13-14,8777
DE,15-16,6097
DE,17-18,6127
DE,19-20,5162
DE,21-22,5266
FL,11-12,80299
FL,13-14,74492
FL,15-16,71995
FL,17-18,78202
FL,19-20,74973
FL,21-22,75992
GA,11-12,16358
GA,13-14,16472
GA,15-16,13348
GA,17-18,15542
GA,19-20,13365
GA,21-22,14261
HI,11-12,8633
HI,13-14,8528
HI,15-16,5785
HI,17-18,7774
HI,19-20,6567
HI,21-22,6368
IA,11-12,29094
IA,13-14,26457
IA,15-16,27336
IA,17-18,28277
IA,19-20,25668
IA,21-22,27047
ID,11-12,3137
ID,13-14,3288
ID,15-16,3233
ID,17-18,3493
ID,19-20,3764
ID,21-22,4138
IL,11-12,146078
IL,13-14,132656
IL,15-16,115122
IL,17-18,112839
IL,19-20,92610
IL,21-22,93456
IN,11-12,54739
IN,13-14,51259
IN,15-16,47501
IN,17-18,50910
IN,19-20,45399
IN,21-22,47584
KS,11-12,27853
KS,13-14,22627
KS,15-16,22893
KS,17-18,23879
KS,19-20,23017
KS,21-22,20539
KY,11-12,37169
KY,13-14,35090
KY,15-16,32783
KY,17-18,33598
KY,19-20,30072
KY,21-22,30105
LA,11-12,72573
LA,13-14,67204
LA,15-16,59975
LA,17-18,64359
LA,19-20,53423
LA,21-22,52550
MA,11-12,59434
MA,13-14,55198
MA,15-16,44993
MA,17-18,43926
MA,19-20,39261
MA,21-22,38211
MD,11-12,49267
MD,13-14,43670
MD,15-16,41938
MD,17-18,45120
MD,19-20,43201
MD,21-22,44282
ME,11-12,3160
ME,13-14,2194
ME,15-16,2102
ME,17-18,2279
ME,19-20,2013
ME,21-22,2363
MI,11-12,55229
MI,13-14,53160
MI,15-16,49905
MI,17-18,48267
MI,19-20,38904
MI,21-22,43463
MN,11-12,46220
MN,13-14,40930
MN,15-16,32771
MN,17-18,37845
MN,19-20,30579
MN,21-22,37831
MO,11-12,63962
MO,13-14,57313
MO,15-16,49563
MO,17-18,51171
MO,19-20,45716
MO,21-22,49535
MS,11-12,8261
MS,13-14,7618
MS,15-16,6061
MS,17-18,6825
MS,19-20,7017
MS,21-22,6810
MT,11-12,3755
MT,13-14,3258
MT,15-16,3580
MT,17-18,2463
